채용공고명,포지션 상세,주요 업무,자격 요건,우대사항,혜택 및 복지,채용 전형,태그,마감일,면접리뷰,회사위치,회사명
부산지역 제약사 의약품 생산 (팀원 및 팀장급),"제이파트너스는 혁신적인 솔루션을 통해 고객의 성공을 지원하는 서치펌입니다.
1. 고객 중심의 서비스: 제이파트너스는 고객의 요구를 최우선으로 고려하여 맞춤형 솔루션을 제공합니다.
2. 지속 가능한 성장: 환경과 사회적 책임을 고려한 지속 가능한 경영을 추구합니다.
3. 전문성 강화: 각 분야의 전문가들이 모여 최고의 성과를 창출합니다.

부산지역 제약사에서 의약품 생산 경력자를 채용하고 있습니다. 이 직무는 의약품 생산 공정의 효율성을 높이고 품질을 유지하는 데 중점을 둡니다. 제이파트너스와 함께 성장하며 전문성을 발휘할 수 있는 기회를 놓치지 마세요.","• 의약품 생산 공정 관리 및 운영
• 생산 설비의 유지보수 및 개선
• 품질 관리 및 생산 효율성 향상",". 제형 (코팅 / 유동층과립기(FBG) 경력 필수
• 의약품 생산 관련 경력 
• 제약 공정 및 품질 관리에 대한 이해
• 팀워크와 커뮤니케이션 능력",". 제형 (코팅 / 유동층과립기(FBG) 경력 필수
• GMP(우수 의약품 제조 및 품질 관리 기준) 경험자
• 관련 자격증 소지자
• 부산 지역 거주 가능자","• 경쟁력 있는 급여 및 성과 보상
• 건강 검진 및 의료 지원
• 자기 계발을 위한 교육 프로그램 제공","• 서류 전형
• 1차 면접
• 2차 면접 및 최종 합격 발표",신규 가입 기업,상시채용,,부산 사하구,제이파트너스
화장품 브랜드 품질관리(QC),"• 매년 최고 매출액을 경신하며 계속 성장하는 기업
• 평균연령 29세의 젊고 활기찬 조직

2009년 설립된 본느는 글로벌 코스메틱 브랜드의 제품 기획 및 뷰티 디렉팅을 담당하는 뷰티 플랫폼 전문기업입니다.
전 세계 30국에 코스메틱을 개발하여 수출하고 하여, 전체 매출의 약 90% 이상이 Global Market 에서 발생하고 있으며, 매년 지속적인 성장을 해오고 있습니다.
본느는 기존 고객사의 Helper에서 세계로 진출하는 고객사 성장의 Booster로서 역할을 재정립하고, 2020년 1천억원 매출 달성을 향해 열심히 달려가고 있습니다.","∙  화장품 브랜드사 품질관리(QC) 업무
∙  타겟 국가에 따른 수출 서류 대응
∙  각 국가별 성분 규제 검토 및 가이드라인에 따른 제품 관리
∙  품질관리 서류업무 대응(해외등록 서류 및 모크라 중국위생허가 서류 관리 등)
∙  제품 클레임 처리 및 개선 조치
∙  화장품 관련 법규 모니터링 및 부자재 문안 검수","∙ 경력 : 경력 8년 이상(과장~차장)
∙ 학력 : 2년제 대학 이상
∙ 영어 가능자
∙ 근무형태 : 정규직(수습기간)-3개월","∙  외국어 : 영어 가능자
∙  관련 학과 전공자(화장품, 화학과, 향장학과, 영문과 등)
∙  관련 자격증 보유자
∙  원료, 반제품/완제품 및 자재검수 QC 유경험자
∙  동종업계(화장품) 경험자
∙  수출 인증 경험자","∙  조직문화 : 자유로운 연차사용, 자유복장, 야근강요 안함, 회식강요 안함
∙  선물 : 생일자 선물
∙  리프레시 : 패밀리데이, 콘도/리조트 이용권
∙  근무환경 : 자회사 제품 할인, 전용 사옥",서류전형 - 1차면접 - 2차면접 - 최종합격,"51~300명, 설립4~9년",상시채용,,서울 강남구,본느
무선통신장비 생산관리 및 QC 담당자,"피엘네트웍스는 IoT(Internet of Things)의 네트워크 및 디바이스 제조 및 IoT Network Solution을 판매하고 있습니다. 다양한 산업에 전용 무선 IoT 자가망 구축 및 디바이스 제공을 주 사업으로 하고 있으며, 국내외 다수의 사이트를 확보하고 있습니다.","• 제품 품질검사 및 관리(QC)
• 생산 시험 및 기술지원
• 네트워크 장비 숙달 및 제품화 작업
• 제품 분석 및 개선대책 조치
• 고객사 품질 대응
• 현장지원","• 학력 : 대졸이상
• 경력 :  5 ~ 10년","• 네트워크 및 무선경력자
• QC 관련 경력 및 경험 보유","• 급여제도 : 퇴직연금, 4대 보험
• 교육/생활 : 점심식사 제공, 저녁식사 제공, 식비 지원
• 조직문화 : 회식강요 안함, 야근강요 안함, 자유복장, 자유로운 연차사용, 칼퇴근 보장
• 출퇴근 : 주차장제공","• 서류전형 ＞ 면접전형 ＞ 최종합격
• 면접일정은 추후 통보됩니다.","50명이하, 설립4~9년, 연봉상위6~10%, 식대지원",2024.10.25,,경기 용인시,피엘네트웍스
Operations - Senior Associate,"Let’s Eliminate the Idea of Waste! 테라사이클과 함께 할 팀원을 찾고 있어요!

[테라사이클 소개]
테라사이클은 폐기물의 새로운 가치를 창출하는 글로벌 재활용 혁신 기업입니다. ‘Eliminate the idea of waste’(쓰레기라는 개념을 없애자)는 미션을 달성하기 위해 모든 자원이 재활용될 수 있도록 다양한 솔루션을 제공하고 있습니다.

[팀 소개]
운영팀은 캠페인이 원활하게 운영될 수 있도록 자원의 수거부터 재활용까지 모든 과정을 담당합니다.
다양한 수거품목을 분석해 재활용 공정을 수립하고, 수거된 자원이 원료로 사용될 수 있도록 지속적으로 공정의 품질을 개선하고 있습니다.","• 수거품목 재질 분석 및 재활용 공정 원가 산출
• 재활용 프로세스 개발 및 관리 - 재활용 공정 수립, 협력사 관리, 품질 관리 등
• 재활용 데이터 분석 및 리포팅","• 재활용 프로세스 기획/운영 또는 Supply Chain 관리 관련 분야 경험 보유 (2년 이상)
• 데이터 취합 및 결론 도출에 능하며, 탁월한 자료정리 능력 보유
• 다른 사람들과 함께 일하고 협력할 수 있는 긍정적인 태도 보유
• 업무 수행하는 과정에서 Ownership을 가지고 프로젝트를 관리/운영 가능하신 분","• 생산공정 운영/관리 또는 제품 연구개발 경험 보유
• 폐기물 처리 관련 지식/자격증 보유
• 정보 수집, 분석 및 리포팅을 위한 소프트웨어 활용 능력 (MS오피스)
• 환경 활동 경험

*영어 유창함은 플러스 요인입니다","• 퇴직연금, 인센티브, 4대 보험
• 유연근무제
• 주 1회 선택 재택근무
• 자율복장
• 점식 식대, 야간근무 식대, 교통비지급
• 연차, 반차, 반반차, 경조휴가
• 연말 휴무",서류 전형 ＞ 1차 면접 (실무팀 면접) ＞ 2차 면접 (인사팀 면접) ＞ 최종 합격,"자율복장, 자유로운휴가, 보너스, 식대지원, 50명이하, 설립4~9년, 육아휴직, 유연근무, 재택근무",상시채용,"신속 간결한 스타일, 과정 중심 질문, 친절/따뜻한 스타일, 자유롭고 편한 환경",서울 성동구,테라사이클코리아
의료기기 QMR[QA/QC] 팀장 (용인),"[코스닥 상장사, 미국 FDA 승인 제품 다수]

저희 L&K Biomed는 척추질환 치료에 사용하는 임플란트 분야의 글로벌 메디컬 전문기업으로, 척추의 모든 질환에 사용할 수 있는 생산시스템을 갖추고 있습니다. 미국 FDA 승인을 받은 당사의 무수한 제품군을 통해, 앞으로도 최고의 품질로 세계 척추의료기기 시장의 선두주자가 되도록 노력하고 있습니다.

- 관련 기사

ㆍ엘앤케이바이오 12조 척추임플란트 시장 공략… 미 FDA 승인 의미는","[저희 팀을 소개합니다.]
• 품질보증팀은 총 8명으로 구성되어 있으며 QA와 QC 업무를 수행하고 있습니다.
• 팀장급의 인원을 채용중에 있으며 용인 플랜트에서 근무합니다. 
• 깨끗한 사무실 환경에서 척추 의료기기 임플란트의 전반적인 제품들을 품질 관리 하고 있습니다. 
• 품질보증팀은 엘앤케이바이오메드를 대표하는 부서이며 핵심적인 역할을 수행하고 있습니다. 

저희는 이런 일을 하고 있습니다.
[QMR]
• 품질체계 총 관리 / 안정화 업무를 수행합니다.
• 실사 사전준비 및 불량 감시 효과 업무를 수행합니다.
• QA/QC 팀원들에게 전문적인 교육을 실시합니다.
• QC 공정 관리 및 검사 업무를 수행합니다.","[저희는 이런 분을 찾고 있습니다.]
• 경력 : 13년 이상이신 분
• 영어 커뮤니케이션이 뛰어나신 분
• 이공계 학과를 졸업하신 분","[이런 경험이 있다면 좋습니다.]
• QA / QC 총괄 경험이 있으신 분
• 현업 부서와 소통에 원활하신 분
• 전반적인 품질 보증 관련 전략적이고 꼼꼼하신 성격을 가지신 분
• 임플란트, 척추 제품 관련 품질 경영 업무를 수행하신 분","저희는 직원들의 복리후생을 지원합니다. 

• 면접비를 지원해요. (거리에 따라 상이)
• 통신비를 지원해요. (연간 60만원)
• 명절 및 여름휴가비를 지원해요. (연간 90만원)
• 엘바롱[식비 및 교통비]을 지원해요. (연간 240만원)
• 야근 시 식비 및 교통비 지원해요.
• 생일 상품권 지급해요.
• 임직원 건강검진 진행해요 (50만원 상당)
• 경조휴가, 경조금 지원해요.
• 장기근속 및 우수사원 포상해요.",ㆍ서류전형 ＞ 1차면접 ＞ 2차면접 ＞ 최종합격,"건강검진지원, 휴가비, 육아휴직, 편의시설, 51~300명, 연봉상위2~5%, 식대지원, 인원 급성장, 설립10년이상, 경기도 우수 중소기업, 통신비",상시채용,,경기 용인시,엘앤케이바이오메드
[스타터/아웃도어프로덕츠] 소싱 MD,"우리는 트렌드를 만들어가는 '패션 스타트업' 입니다.
우리는 감도높은 PB브랜드와 함께 성장하며 큰 꿈을 향해 달려가고 있습니다.
우리는 D2C와 B2B 사업을 넘어 O4O 사업, 즉 온·오프라인을 통합해 사업의 선순환을 이룰 수 있는 역량을 갖추고 있습니다.

저희와 함께 새로운 것을 도전하고 다양한 목표를 이루고 싶은 분들을 찾고 있습니다.
더 궁금한게 있으시다면 차일디 홈페이지를 방문해 주세요.

[소싱팀을 소개합니다]
자신의 업무 외 다양한 프로세스를 함께 경험하고 공유해요.
브랜드를 성장시키며 브랜드에 대한 애정을 함께 키워가요.
구성원 모두가 업무를 함께 공유하며 다양한 의견을 수렴해요.
탑다운 형태가 아닌 팀워크를 바탕으로 즐거운 분위기에서 자신이 사랑하는 브랜드를 성장시켜요.
수동적인 자세가 아닌 능동적이고 긍정적인 자세로 일할 수 있는 분을 원해요.","• 담당 브랜드 : 스타터, 아웃도어 프로덕츠(성인)
• 브랜드 전반적인 생산 관리
• 의류 및 용품 기획 및 원가 관리
• 국내외 완사입&임가공 생산 관리(납기, 품질 등)
• 원/부자재 소싱, 발주, 퀄리티 관리
• AS 및 클레임 관리
• 라이선스 디자인 승인 관리","• 소싱 MD 업무 경력이 3년 이상이신 분
• 완사입&임가공 생산 핸들링이 가능하신 분
• 제품 구조에 대한 이해 및 QC관리 이해도가 높으신 분","• 긍정적인 마인드로 타 부서와 원활한 소통이 가능하신 분
• 멀티 플레이가 가능한 꼼꼼한 성격을 가지고 계신 분","• 업무 효율을 위해 필요한 장비 지원
• 연 60만원 상당의 복지포인트 지원 (입사일 기준 월 5만원)
• 자사 상품 직원가로 구매 가능
• 점심 & 저녁 회식비 지원
• 달달한 간식과 다양한 종류의 커피, 차 무제한 제공
• 생일자 조기 퇴근
• 매월 마지막 주 목요일 여유 있는 점심 시간 (점심시간 1시간 30분 제공)

이 외에도 차일디는 근무자들을 위한 다양한 복지를 만들어 가고 있습니다!","채용 절차
• 서류 전형 ＞1차 인터뷰 ＞ 2차 인터뷰 ＞ 최종 합격","커피·스낵바, 식대지원, 자기계발지원, 복지포인트, 51~300명, 설립4~9년, 인원 급성장, 경기도 우수 중소기업",상시채용,"세심한 스타일, 과정 중심 질문, 천천히 기다려준 편, 자유롭고 편한 환경",서울 성동구,차일디
기술지원&품질,"IDEA+DEEP TECH
혁신적인 아이디어에 기술을 결합하여
세상에 최고의 가치를 제공하는 것을 목표로 하고 있습니다.

+Vision
건강하고 아름다운 삶을 위해 도움이 되는 모든 일에 도전한다.

+Mission
사람들에게 건강하고 편리한 삶을 위한 제품과 서비스를 제공한다.","• 고객사 품질대응관리
• 공정내 품질관리 및 출하품질관리
• 품질 검증 및 신뢰성 시험 실무
• 품질 데이터 분석
• 품질 문제 개선","• 경력사항: 경력 3년~15년
• 학력사항: 초대졸(2,3년제) 이상
• 시험 기획, 결과분석을 포함한 품질 신뢰성 시험 실무 경력 보유자
• 제조업 개발(회로) 또는 생산기술(회로) 업무 경력 보유자","• 영어 또는 중국어 가능자
• 유관 업무 경력자
• 전기, 전자 및 관련 전공자
• 즉시 출근가능자
• 장기근무 가능자","[업무문화 및 혜택]
1. 우리에게 가장 소중한 존재는 회사의 꿈을 실현시켜 줄 직원들이며, 회사는 직원들을 신뢰합니다. 
2. 글로벌 역량/어학능력을 키운 직원들은 6개월 GMP(Global Mobility Program)를 통해 미국 지사에서 일할 수 있으며, 향후 유럽/일본/동남아시아/중동 등 지역까지 해외지사 설립안을 수립 중입니다. 
3. 점심/저녁식대를 업계 최고수준으로 제공합니다. 모든 직원들에게 법인카드가 제공되며, 영수증 정산 프로세스 없이 이용합니다. 
4. 단, 개인의 모든 행동에 대한 책임은 온전히 개인이 지며, 동시에 유의미한 성과로써 사업에 기여해야 합니다.",• 서류전형 ＞ 1차면접 ＞ 최종합격,"연봉상위2~5%, 50명이하, 식대지원",상시채용,,서울 강서구,비씨엘메디텍
SW 개발 팀장,"IDEA+DEEP TECH
혁신적인 아이디어에 기술을 결합하여
세상에 최고의 가치를 제공하는 것을 목표로 하고 있습니다.

+Vision
건강하고 아름다운 삶을 위해 도움이 되는 모든 일에 도전한다.

+Mission
사람들에게 건강하고 편리한 삶을 위한 제품과 서비스를 제공한다.","• Android Framework, API, Application의 개발 및 관리
• 개발 요구 사항의 설계 및 가이드
• 프로젝트의 업무, 일정, 리소스 관리","• 경력사항: 경력 10년 이상
• 학력사항: 대학교(4년)졸업 이상
• Java, C/C++ 프로그래밍 능통
• Android 단말기 및 다양한  Software 개발 경험
• 문제 해결과 커뮤니케이션 능력
• 프로젝트 관리 능력","• PM, 개발 팀장 수행 경험
• Android AOSP 적용 경험
• 영어 가능","[업무문화 및 혜택]
1. 우리에게 가장 소중한 존재는 회사의 꿈을 실현시켜 줄 직원들이며, 회사는 직원들을 신뢰합니다. 
2. 글로벌 역량/어학능력을 키운 직원들은 6개월 GMP(Global Mobility Program)를 통해 미국 지사에서 일할 수 있으며, 향후 유럽/일본/동남아시아/중동 등 지역까지 해외지사 설립안을 수립 중입니다. 
3. 점심/저녁식대를 업계 최고수준으로 제공합니다. 모든 직원들에게 법인카드가 제공되며, 영수증 정산 프로세스 없이 이용합니다. 
4. 단, 개인의 모든 행동에 대한 책임은 온전히 개인이 지며, 동시에 유의미한 성과로써 사업에 기여해야 합니다.",• 서류전형 ＞ 1차면접 ＞ 최종합격,"연봉상위2~5%, 50명이하, 식대지원",상시채용,,서울 강서구,비씨엘메디텍
육가공공장 생산변화혁신 팀장,"[신화푸드그룹 소개]

연매출 1조 시대를 열어갈 외식문화기업의 선두주자! SFG 신화푸드그룹의 미래를 이끌어갈 핵심인재를 영입합니다.
SFG는 '물도 음식이다'. 모든 기본은 바른 정신에서 나온다는 마음으로 [3간三間/사람&공간&시간]의 가치를 실현하는 기업입니다.","• 육가공 및 식품제조 생산 Data 관리
  - 일일 생산성 관리
  - 수율관리
• 생산계획 수립 및 관리
• 생산공정 관리
• 품목별 제조원가 관리
• 생산인력 관리","• 학력 : 대졸이상
• 경력 : 15 ~ 20년
• 식품제조업 생산관리 경험자(Haccp공장)
• MS office 상급 이상
• ERP 사용 경험자","• 관련 자격증 보유자
• 리더십 소유자(생산현장 컨트롤)
• 생산업무 개선 및 발전에 대한 확고한 의지가 있으신 분","SFG신화푸드그룹은 업계 최고가 될 수 있도록 최적의 몰입환경을 만들고 아낌없이 보상하며 성장을 지원합니다.
• 능력만큼 드리는 업계 최고의 연봉
• 점심은 맛있게 드세요! 중식제공!
• 생일에는 상품권, 명절에는 상품권 및 귀성여비 지급!
• 브랜드 이용시 20% 상시 할인!
• 기쁘고 슬픈일 함께 하겠습니다! 각종 경조사 지원
• 사내 대출로 부담을 덜어드려요!
• 휴양소와 연수원 운영
• 우수 직원 포상","• 서류전형 ＞ 실무자면접(1,2차) ＞ 최종합격 ＞ 부서배치","식대지원, 연봉상위11~20%, 301~1,000명, 설립10년이상, 자기계발지원",2024.10.19,,인천 남동구,신화푸드
"품질인증 및 심사관리,행정 담당자","• 인터엠은 산업용 영상/음향기기 제조업 회사입니다.
• 1983년에 설립되었으며 코스닥 상장사이자 고용노동부에서 선정한 강소기업입니다.
• 인터엠은 자체 연구소와 공장을 보유하고 있으며 PA 시스템, SR 시스템, 전송 솔루션 등으로 국내 산업용 음향기기 업계를 선도하고 있습니다.","• 각종 품질인증 및 심사 관리
 1) ISO9001/14001/45001/22163 내부/사후심사
 2) KS 인증
 3) 품질보증조달물품 지정유지관리 심사
 4) 사내표준 관리

• 행정
 1) 부서 사내/사외 교육관리
 2) 품질분석보고서 작성
 3) 예산 및 비품관리
 4) 자격관리","학력 : 2,3년제 졸업 이상
경력 및 전공 : 무관","• 해당 직무 근무 경험
• 품질인증 관련 전공자 및 자격증 소지자
• 인증 심사 경험자
• MS Office 사용 가능자 (데이터 분석)
• OA 컴퓨터 활용 가능","• 중,석식 제공
• 경조휴가/경조금 지원
• 웰컴키트, 가이드북
• 명절선물
• 장기근속, 우수사원 포상
• 휴양시설 지원
• 전용사옥
• 사내 동호회
• 도서구입비, 교육비 지원 
• PC-OFF 제도",서류 전형 - 1차면접 - 2차면접 - 채용,"사내동호회, 식대지원, 자기계발지원, 인원성장, 51~300명, 설립10년이상, 경기도 우수 중소기업",상시채용,,서울,인터엠
이커머스 리테일 인스탁 매니저 (발주/재고관리),"[회사소개]
인티그레이션은 한의계 플랫폼 Product인 [메디스트림]을 바탕으로 ‘의료인이 진료에 집중할수록 사람들은 건강해집니다’라는 Mission을 실현해나가고 있습니다.
우리의 목표는 단순하게 한 업계에서 점유율이 높은 회사가 되는 것이 아닙니다. '의료 시장에 새로운 흐름을 계속 만들어가겠다'는 의지를 담은 Medistream의 이름처럼, 전문직 플랫폼의 미래를 만들어가고 있습니다.

인티그레이션(메디스트림)은 의료인이 되고, 의료사업자가 되는 모든 것을 제공합니다.
- 한의사/한의대생 78%가 가입한 커뮤니티 +
- 전문가들을 위한 양질의 강의를 제공하는 메디클래스 +
- 한의원에 필요한 모든 것을 편리하게 구매 가능한 커머스 +
- 한의원 매출을 평균 37% 올려주는 경영지원 서비스 +
- 기존 프랜차이즈에서만 가능하던 의약품, 건기식, 식품개발


왜 인티그레이션을 선택해야 할까요?


1. 혁신을 기다리는 시장에서 혁신해야 합니다. 한의계 시장은 혁신가에게 굉장히 매력적입니다.
＜한의계 시장은 폭발적인 성장을 기다리고 있습니다.＞
2022년 기준 한방병원, 한의원 7조 8천억 원 시장입니다.
2006년부터 2022년까지 한의계 시장은 매년 6.6%씩 꾸준히 성장했습니다. 안전하고 효과적인 건강 시장에 대한 생각이 보편화되면서 이 시장은 더욱 더 커지고 있습니다.

＜하지만 한의원 관련 산업은 파편화 되어있습니다.＞
한의사 70%는 개원합니다. 운영관리, 채용, 교육, 소모품-의료기기 비교견적, 경영, 청구, 의료사고, CS, 노무 분쟁, 대출, 절세, 상품 개발, 온라인 마케팅, 오프라인 마케팅… 개원한 한의사는 진료 외 부차적인 문제들에 파묻혀서 진료에 집중하기 어렵습니다. 1개소 평균 근무자 5인 이하인 현장에서, 한의원에 필요한 의약품, 의료기기, 한약재 구매 경험이 더 신뢰있게 나아지길 원하고 있습니다. 한약재의 퀄리티, 한약 상품성의 고도화, 시장인식의 변화 또한 일어나길 기다립니다.

＜인티그레이션은 규모의 경제를 이뤄 업계 전반적인 혁신을 도모합니다.＞
업계 관련 산업의 파편화를 극복하고, 규모의 경제만이 해결해 줄 수 있는 문제를 풀어내려 합니다. 흔한 플랫폼 서비스는 사업자들의 적이지만, 우리는 메디스트림이 업계를 혁신하고, 파이를 키워낼 것이라 믿는 한의사 사용자들과 함께하고 있습니다. 일선 한의원 현장에 나가 한의사 분들이 필요한 것을 같이 일하며 파악하고, IT 기술과 디자인, R&D를 통해 해결하며, 서비스는 나날이 뾰족해지고 있습니다.


2. 멋진 혁신을 응원하는 사용자가 기다리고 있습니다.

＜전국 한의사와 한의대생 78%가 가입했습니다.＞
한의사, 한의대생에게 유용한 의료 정보를 제공하는 조그마한 네이버 카페로 시작하여, 고객 목소리에 귀 기울이며, 화려한 마케팅 하나 없이 전체 한의사, 한의대생 78%가 가입한 플랫폼으로 성장했습니다.

＜커뮤니티, 커머스, 온라인 클래스, 경영지원, 제품 생산까지 ’신뢰할 수 있는, 전문적인, 도움이 되는’ 서비스를 만들어갑니다.＞
런칭하는 서비스마다 가시적인 성과를 냈습니다. 우리는 실패하지 않는 프로덕트를 만들어갑니다. 다양한 서비스를 성공적으로 런칭했던 이유는, 사용자들의 갈증이 컸기 때문입니다.
가치있는 대화가 누적되는 커뮤니티, 빠르고 편리하고 싸게 구매할 수 있는 마켓, 학계와 협업하는 온라인 보수교육, 36개월 참여 한의원은 평균 112%까지 매출이 높아졌던 경영지원 시스템, 한의계에 새롭게 선보인 의약품 라인업 경옥고 壽, 공진단 壽, 린다이어트까지. 우리는 업계가 필요한 인프라를 차근차근 만들어가고 있습니다.


3. 훌륭한 인재들이 다양한 서비스를 구축해가고 있습니다.

＜커뮤니티, 커머스, 클래스, B2B SaaS, PB 브랜드, 제조 사업을 모두 경험해볼 수 있습니다.＞
어떤 회사를 가더라도 한두가지의 제한된 비즈니스만 경험해볼 수 있지만, 메디스트림은 커뮤니티, 커머 수스, 클래스, B2B SaaS, PB 브랜드, 제조 사업 등 다양한 비즈니스를 모두 경험할 수 있습니다. 함께 만든 각 서비스들이 서로 연결되며 통합되는 과정을 경험을 하면서, 한의계 업계 전체 인프라를 수직계열화 해나가는 경험을 할 수 있는 흔치 않은 기회입니다.

＜훌륭한 인재들이 모이고 있습니다.＞
한의계 혁신을 위해 다방면의 최고의 인재들이 필요합니다. 한의사 출신인 대표를 비롯하여 헬스케어, IT, 비즈니스, 바이오테크 등 각 분야 최고 전문가들이 모였습니다. 국내 유수 대형 스타트업 C레벨 출신 개발자, 디자이너, PO 등 모여서 한의계 혁신을 위한 기반을 만들어가고 있습니다.

＜Series C 완료 : 누적 투자금 363억＞
2020년 3월 Seed Level을 지나, 2023년 매출 240억을 기록하였고, 2024년 1월 Series C 단계에 도착했습니다. 2025년에는 매출 500억과 BEP 달성을 목표로 하고 있습니다. 이제는 더 큰 혁신을 위해 더 많은 팀원들과 함께 다음 단계를 준비합니다.

한의계는 무수히 많은 새로운 기회들이 기다리고 있습니다.
혁신에 대한 열정을 확신으로 바꾸어낸 인티그레이션은 더 많은 혁신을 만들어낼 Professional을 찾고 있습니다.


[팀 소개]
ECO(E-Commerce Operation)팀

메디스트림 Platform 내 E-Commerce인 메디마켓을 운영하는 팀입니다. 고객에 대한 공감을 바탕으로 원장님들의 입장에서 한의원 운영에 필요한 모든 물품을 공급하는 역할을 합니다. 고객과 회사, 그리고 개인이 동시에 성장하는 경험을 원한다면, ECP팀에서 새로운 변화를 함께 만들어보세요.

[함께할 동료의 한마디]
메디스트림의 인스탁 매니저는 이커머스의 A to Z를 경험 할 수 있습니다. 발주, 재고관리, 정산 까지! 다양하고 폭넓은 경험을 하고 싶으시다면 인스탁 매니저가 딱입니다.
고객이 필요로 하는 재고를 확보하고, 공급망 관리 시스템을 고도화 하여 영업, 물류, CX파트 등 다양한 팀들의 든든한 지원과 협업 아래 업무를 수행하기에 더 많은 것을 해낼 수 있다는 믿음을 가질 수 있습니다.
고객이 한의원 운영에 필요로 하는 모든 것을 원클릭으로 구매 할 수 있는 메디 마켓을 운영해보고 싶다면? 인스탁 매니저에 지원하세요!
물류기획 정현섭 님


[현재 상황]
• 성장하는 팀에 따른 인력충원
- 회사 설립 5년차
- 운영(MD) 파트장 1인, 팀원 2인
- 활기차고 긍정적인 젊은 동료들
- 1인 추가 채용 진행 중
• 전년 대비 매출 200% 성장
- 입점사 증가 중
- 대기업, 글로벌 기업 협업 증가 중
- 아웃바운드 영업보다 인바운드 입점 증가 중
- 상품 라인업의 경계가 없는 확장성
- 총판 제품 확보하여 경쟁력 강화 중
- 커뮤니티 기반 커머스 경험 가능
- 다양한 프로모션 기획/실행 경험 가능
- 업계 트렌드 주도 경험 가능
• 든든한 운영 지원
- 사업 개발 2인
- CS 팀원 3인
• 자체 상품 라인업 구축
- 다양한 카테고리의 자체 PB 상품 개발
- 높아지는 고객 리텐션

-------------------------------------------------------------------------------------------

[전형별 결과는 7일 이내에 안내 드립니다.]
서류전형 ＞ 화상 면접 ＞ 면접 전형(1차,2차) ＞ 처우협의 ＞ 입사

지원서류(이력서, 포트폴리오)는 PDF로 하나의 파일로 통합하여 업로드 해주시기 바랍니다.

-------------------------------------------------------------------------------------------","• 공급망에 대한 이해와 데이터를 활용하여 품절 문제의 ""근본 원인""을 깊게 파고 들고 분석
• 시즌 상품/ 행사 상품/ 수급 이슈 상품의 수요 예측을 통해 적정 발주량 산정 및 사전 재고 Build up
• 스케일러블한 인스탁 운영을 위해 기존 프로세스 자동화
• 담당 카테고리 내 상품의 적정 재고 수준 관리 및 전상품/무매출 상품의 관리 방안 수립
• 적정 재고 관리를 위한 협력사 발주 및 입고 주기의 효율화 진행
• 물류센터 입고 효율화 관리
• 의약품/의료기기 공급내역보고 관리","• 4년제 대졸 이상이신 분
• 최소 5년 이상의 리테일 비즈니스 경력을 갖추신 분
• MS 엑셀, PPT, Word 등의 소프트웨어 사용이 능숙하신 분
• 빠르게 돌아가는 환경에서 우선순위를 정하여 일하는 능력을 갖추신 분
• 도전적이고 진취적인 마인드를 가진 분","• 재고 관리 및 발주관련 분야 경력자인신 분
• 의료기기/의약품 분야 경험 있는 분
• 이커머스 업계 근무 경력이 있으신 분
• Supply Chain 프로젝트 경력이 있으신 분

[적응을 잘하신 분들의 공통점]
• 관계를 해치지 않는 커뮤니케이션 능력
• 문제 해결을 목적으로 하는 대화 방식
• 모르면 물어볼 수 있는 용기
• 밝고, 자신감이 넘치시는 분
• 절차대로 진행할 줄 아는 꼼꼼함
• 맡은 바를 마무리하는 능력과 성실함
• 손이 빠르신 분 
• 계획, 일정 관리 잘하시는 분
• 새롭게 배우려는 의지
• 적극적인 의견과 아이디어
• 적극적이고 긍정적인 태도","[근무/업무환경]
• 완전자율출퇴근제도 (특정 직군 제외)
• 재택근무 병행
• 최신 PC 및 듀얼 모니터 제공
• 완전자율복장제 (맨발 가능)

[정부운영사업 지원]
• 병역지정업체 지정
  - 전문연구요원 선정
  - 산업기능요원 선정
• 중소기업청년 소득세 감면 혜택 적용 가능

[식사/간식]
• 중식 인당 최대 12,000원 제공
• 야근시 석식 제공
• 커피 무제한 제공

[축하 및 포상제도]
• 수습기간 완료 선물
• 장기근속자 포상
• 직원추천제도 포상

[자기계발]
• 업무 관련 도서 구입 지원
• 온오프라인 강의/세미나 수강 지원

[의료지원]
• 종합건강검진 지원
• 한의원/치과 협력업체 치료 혜택 제공

[휴가] (사유없음)
• 연차/반차
• 경조휴가
• 생일휴가
• 리프레쉬 휴가
• 대체/특별 휴가

[기타 혜택]
• 회식비 지원
• 경조사비 지원
• 명절 선물 지급
• 퇴직연금 가입
• 선정릉 입장권 지급
• 파트너사 상품 구매 시 할인 혜택 제공",,"자율복장, 건강검진지원, 식대지원, 커피·스낵바, 자기계발지원, 연봉상위11~20%, 51~300명, 설립4~9년, 누적투자100억이상, AI 선도 기업, 인원 급성장, 재택근무, 유연근무, 산업기능요원, 전문연구요원",상시채용,,서울 강남구,인티그레이션(메디스트림)
